web_scraper_order,web_scraper_start_url,prix,nom,adresse,url_image
"1772096760-388","https://sn.coinafrique.com/categorie/moutons?page=12","300 000CFA","Mouton","Dakar, Sénégal","https://images.coinafrique.com/thumb_2425084_uploaded_image1_1594426334.jpg"
"1772096760-389","https://sn.coinafrique.com/categorie/moutons?page=12","Prix sur demande","Mouton","Parcelle Assainies, Dakar, Sénégal","https://images.coinafrique.com/thumb_2424899_uploaded_image1_1594421289.jpg"
"1772096760-390","https://sn.coinafrique.com/categorie/moutons?page=12","175 000CFA","Moutons tabaski","Fatick, Sénégal","https://images.coinafrique.com/thumb_2424319_uploaded_image1_1594409865.jpg"
"1772096760-391","https://sn.coinafrique.com/categorie/moutons?page=12","Prix sur demande","Mouton","Dieuppeul-Derklé, Dakar, Sénégal","https://images.coinafrique.com/thumb_2423468_uploaded_image1_1594394984.jpg"
"1772096760-392","https://sn.coinafrique.com/categorie/moutons?page=12","250 000CFA","Mouton","Rufisque, Sénégal","https://images.coinafrique.com/thumb_2423440_uploaded_image1_1594394459.jpg"
"1772096760-393","https://sn.coinafrique.com/categorie/moutons?page=12","Prix sur demande","Mouton","Dieuppeul-Derklé, Dakar, Sénégal","https://images.coinafrique.com/thumb_2423409_uploaded_image1_1594393904.jpg"
"1772096760-394","https://sn.coinafrique.com/categorie/moutons?page=12","285CFA","Mouton","Parcelle Assainies, Dakar, Sénégal","https://images.coinafrique.com/thumb_2423384_uploaded_image1_1594393429.jpg"
"1772096760-395","https://sn.coinafrique.com/categorie/moutons?page=12","Prix sur demande","Moutons","Louga, Sénégal","https://images.coinafrique.com/thumb_2421015_uploaded_image1_1594339492.jpg"
"1772096760-396","https://sn.coinafrique.com/categorie/moutons?page=12","275 000CFA","Mouton de tabaski","Diourbel, Sénégal","https://images.coinafrique.com/thumb_2420371_uploaded_image1_1594328041.jpg"
"1772096760-397","https://sn.coinafrique.com/categorie/moutons?page=12","350 000CFA","Mouton Tabaski","Parcelle Assainies, Dakar, Sénégal","https://images.coinafrique.com/thumb_2420124_uploaded_image1_1594323293.jpg"
"1772096760-398","https://sn.coinafrique.com/categorie/moutons?page=12","Prix sur demande","Mouton","Biscuiterie, Dakar, Sénégal","https://images.coinafrique.com/thumb_2419765_uploaded_image1_1594316963.jpg"
"1772096760-399","https://sn.coinafrique.com/categorie/moutons?page=12","Prix sur demande","Mouton","Biscuiterie, Dakar, Sénégal","https://images.coinafrique.com/thumb_2419760_uploaded_image1_1594316896.jpg"
"1772096760-781","https://sn.coinafrique.com/categorie/moutons?page=7","270 000 CFA","Mouton","Grand Dakar, Dakar, Sénégal","https://images.coinafrique.com/thumb_4789672_uploaded_image1_1718065178.jpg"
"1772096762-400","https://sn.coinafrique.com/categorie/moutons?page=11","290 000CFA","Moutons","Yoff, Dakar, Sénégal","https://images.coinafrique.com/thumb_2495989_uploaded_image1_1596037715.jpg"
"1772096762-401","https://sn.coinafrique.com/categorie/moutons?page=11","400CFA","Moutons","Mbao, Dakar, Sénégal","https://images.coinafrique.com/thumb_2495680_uploaded_image1_1596032109.jpg"
"1772096762-402","https://sn.coinafrique.com/categorie/moutons?page=11","800 000CFA","Mouton","Saint-Louis, Sénégal","https://images.coinafrique.com/thumb_2495384_uploaded_image1_1596026626.jpg"
"1772096762-403","https://sn.coinafrique.com/categorie/moutons?page=11","150 000CFA","Moutons","Dieuppeul-Derklé, Dakar, Sénégal","https://images.coinafrique.com/thumb_2494553_uploaded_image1_1596015216.jpg"
"1772096762-404","https://sn.coinafrique.com/categorie/moutons?page=11","950 000CFA","Mouton","Thies, Sénégal","https://images.coinafrique.com/thumb_2493619_uploaded_image1_1595976179.jpg"
"1772096762-405","https://sn.coinafrique.com/categorie/moutons?page=11","180 000CFA","Mouton","Hann Bel-Air, Dakar, Sénégal","https://images.coinafrique.com/thumb_2491349_uploaded_image1_1595932714.jpg"
"1772096762-406","https://sn.coinafrique.com/categorie/moutons?page=11","275 000CFA","Mouton","Sicap Liberté, Dakar, Sénégal","https://images.coinafrique.com/thumb_2488569_uploaded_image1_1595858646.jpg"
"1772096762-407","https://sn.coinafrique.com/categorie/moutons?page=11","650 000CFA","Mouton","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_2487484_uploaded_image1_1595843120.jpg"
"1772096762-408","https://sn.coinafrique.com/categorie/moutons?page=11","200 000CFA","Moutons","Hann Bel-Air, Dakar, Sénégal","https://images.coinafrique.com/thumb_2487408_uploaded_image1_1595841920.jpg"
"1772096762-409","https://sn.coinafrique.com/categorie/moutons?page=11","120 000CFA","Mouton","Mbao, Dakar, Sénégal","https://images.coinafrique.com/thumb_2487271_uploaded_image1_1595839511.jpg"
"1772096762-410","https://sn.coinafrique.com/categorie/moutons?page=11","190 000CFA","Mouton","Mbao, Dakar, Sénégal","https://images.coinafrique.com/thumb_2486092_uploaded_image1_1595792898.jpg"
"1772096762-411","https://sn.coinafrique.com/categorie/moutons?page=11","Prix sur demande","Mouton","Rufisque, Sénégal","https://images.coinafrique.com/thumb_2484036_uploaded_image1_1595732124.jpg"
"1772096762-412","https://sn.coinafrique.com/categorie/moutons?page=11","Prix sur demande","Mouton","Rufisque, Sénégal","https://images.coinafrique.com/thumb_2484035_uploaded_image1_1595732058.jpg"
"1772096762-413","https://sn.coinafrique.com/categorie/moutons?page=11","Prix sur demande","Mouton","Rufisque, Sénégal","https://images.coinafrique.com/thumb_2484034_uploaded_image1_1595731974.jpg"
"1772096762-414","https://sn.coinafrique.com/categorie/moutons?page=11","Prix sur demande","Mouton","Rufisque, Sénégal","https://images.coinafrique.com/thumb_2484033_uploaded_image1_1595731898.jpg"
"1772096762-415","https://sn.coinafrique.com/categorie/moutons?page=11","Prix sur demande","Mouton","Rufisque, Sénégal","https://images.coinafrique.com/thumb_2484032_uploaded_image1_1595731823.jpg"
"1772096762-416","https://sn.coinafrique.com/categorie/moutons?page=11","Prix sur demande","Moutons","Fass, Dakar, Sénégal","https://images.coinafrique.com/thumb_2482759_uploaded_image1_1595694878.jpg"
"1772096762-417","https://sn.coinafrique.com/categorie/moutons?page=11","300 000CFA","Mouton","Yoff, Dakar, Sénégal","https://images.coinafrique.com/thumb_2482666_uploaded_image1_1595692369.jpg"
"1772096762-418","https://sn.coinafrique.com/categorie/moutons?page=11","299 999CFA","Moutons","Grand Yoff, Dakar, Sénégal","https://images.coinafrique.com/thumb_2482541_uploaded_image1_1595689964.jpg"
"1772096762-419","https://sn.coinafrique.com/categorie/moutons?page=11","Prix sur demande","Mouton","Dakar, Sénégal","https://images.coinafrique.com/thumb_2482513_uploaded_image1_1595689410.jpg"
"1772096762-420","https://sn.coinafrique.com/categorie/moutons?page=11","210 000CFA","Mouton élevage","Dakar, Sénégal","https://images.coinafrique.com/thumb_2482497_uploaded_image1_1595689095.jpg"
"1772096762-421","https://sn.coinafrique.com/categorie/moutons?page=11","210 000CFA","Mouton","Dakar, Sénégal","https://images.coinafrique.com/thumb_2482469_uploaded_image1_1595688795.jpg"
"1772096762-422","https://sn.coinafrique.com/categorie/moutons?page=11","200 000CFA","Mouton","Ouest Foire, Dakar, Sénégal","https://images.coinafrique.com/thumb_2482461_uploaded_image1_1595688566.jpg"
